stock,latest_price,weekly_change,ma7,ma21,signal,alert_triggered
Reliance,1414.55,1.4,1396.05,1399.18,BEARISH,Reliance is BELOW ₹2500 — currently ₹1414.55
Infosys,1254.6,0.4,1248.45,1287.68,BEARISH,Infosys is BELOW ₹1500 — currently ₹1254.60
